Avg.Area Income,House Age,Number of Rooms,Number of Bedrooms,Population,Price
67004,7,7,3,28464,1214987
87835,4,7,3,16251,1053237
73434,7,6,2,44544,1515005
70124,7,7,6,51674,1732196
84366,5,8,5,43445,1587122
60344,8,7,4,24199,1184894
71309,6,9,3,22710,1314349
65431,4,7,4,33320,717825
73591,5,7,2,51662,1441737
52806,7,7,4,37161,1119542
58187,6,7,4,31552,850977
70506,6,8,3,44707,1655467
77412,7,7,4,33259,1641740
65088,7,7,3,40283,1369977
72547,6,7,3,39219,1465836
78864,6,7,3,50194,1789335
67336,7,7,6,10311,863297
79552,5,7,3,50114,1425366
89089,7,9,5,49782,2271113
67110,7,7,6,31999,1370700
80779,6,6,3,34431,1566740
76624,5,6,4,47039,1436995
80012,6,6,2,26576,1345963
70473,6,6,3,34894,1265181
57457,5,8,6,37379,1061223
80001,6,6,3,42245,1383967
66388,6,8,5,22553,1051519
64699,7,7,4,49084,1550360
84777,5,6,2,42039,1375057
81197,7,7,3,49575,1882979
60691,8,7,3,35529,1274054
72001,7,8,3,27699,1426435
51145,7,7,4,39369,913587
57684,7,7,4,43348,1116731
63759,6,8,6,35072,1226587
68616,9,6,2,51792,1836978
66823,8,6,4,30852,1452154
67564,7,8,5,21880,1294750
68009,4,8,5,28908,1059871
73715,6,8,3,45541,1615347
50814,7,6,2,30767,1107692
83814,9,7,3,51538,2330290
51667,8,8,3,41926,1116193
69237,6,6,4,39400,1072254
81100,6,7,4,29780,1626942
59304,7,9,3,43609,1669681
69611,4,6,4,39210,806122
77402,6,8,6,39351,1680253
73386,5,8,4,38413,1186442
70962,9,6,2,38252,1766248
81182,7,8,5,26691,1641056
57272,8,7,2,30099,1120895
58872,8,7,5,25092,1325707
74029,7,6,4,36360,1593348
56849,4,7,3,43523,605073
73587,6,7,2,25272,1064510
49728,6,8,3,37609,872366
60631,6,8,3,40928,1117742
78404,7,7,3,49398,1935173
86611,5,8,3,45359,1668671
58914,7,6,2,35283,1072705
75867,6,8,4,56294,1914747
66582,5,6,3,18231,839194
62820,8,8,6,23734,1285158
69712,6,8,3,36291,1433615
82711,6,5,4,44769,1459343
58828,7,9,6,44277,1652846
53162,5,9,4,30535,725831
79361,5,7,3,53875,1378864
58326,6,7,6,31256,1003942
55773,6,7,2,41639,729883
71893,6,7,3,40364,1270048
75923,7,6,2,49459,1695706
54648,6,8,4,20271,714823
71858,6,6,4,52564,1462899
67424,5,8,6,32413,1127260
70565,5,7,4,38376,1014226
74237,5,5,4,37651,852983
58004,5,8,6,29183,830287
101929,5,9,4,22805,1938866
55809,7,6,4,49002,1247645
48357,5,8,3,45207,813415
65018,5,6,2,26910,679373
66949,5,6,3,30324,814879
82849,6,6,4,40338,1489540
65851,7,7,5,36110,1468739
93579,6,6,4,38978,1859884
76114,7,7,5,42602,1558759
84290,8,8,4,42768,2120888
57716,6,8,5,19844,790599
85826,7,6,3,13983,1137465
62765,8,7,4,22272,1369753
70206,6,9,5,26973,1433221
66596,5,7,3,42385,1373048
64304,6,7,3,20215,941951
57359,7,7,3,22062,948280
74216,6,7,3,45069,1365036
68503,4,8,4,34699,1289082
55481,6,10,3,42180,1398979
75266,8,7,5,13108,1559679
68854,7,8,5,37483,1485677
74854,5,8,4,50538,1553593
54634,6,8,6,41564,1179278
57098,8,6,2,42721,1262466
68036,6,9,4,34175,1663509
63129,5,7,3,39537,930012
62937,6,9,3,38082,1584168
82916,7,8,5,50446,2185480
70139,6,7,4,44685,1529029
75611,6,7,6,22047,998241
42822,7,5,3,29670,513216
60145,7,8,5,25199,1136448
87854,7,8,6,42302,1898669
66393,5,8,5,26623,1255576
58204,6,7,5,46663,1367641
88245,7,9,3,25792,1788285
68738,5,8,6,34217,1230363
56423,5,8,3,40156,1000217
66678,4,7,5,23031,587008
71517,8,8,5,40239,1734373
66098,4,6,4,37468,762167
76423,8,8,5,24402,1532846
72660,5,6,4,48712,1243502
92787,5,7,2,36590,1628878
78536,7,7,3,44280,1767331
58111,6,7,2,49356,1308753
71615,6,8,4,29922,1311681
76814,7,7,3,31822,1567368
73508,6,7,3,34895,1126821
63806,7,6,4,48434,1473762
67652,6,6,4,50823,1366001
69087,6,9,6,39890,1677612
93822,7,7,3,28556,1789973
89809,7,8,3,30847,1961716
64897,6,5,2,33201,673225
61854,7,8,4,23811,1230391
64206,6,6,2,48650,1124818
74872,7,7,3,20068,1090996
81981,6,8,3,41394,1570154
52802,6,6,3,21518,685123
54510,5,9,4,20211,845553
61869,6,5,3,34967,974806
63655,8,7,3,16409,1247661
86032,5,7,5,35418,1381417
72749,7,9,6,40138,1726364
61840,8,6,3,26065,961539
76520,6,7,2,28961,1359978
76775,6,6,2,34314,1384466
76660,6,7,6,41718,1531447
71371,6,5,3,52266,1418596
83461,6,7,2,31385,1476387
74741,6,6,4,29955,1168355
70229,7,8,6,28829,1222701
72951,5,5,4,38711,987448
58516,6,6,4,33776,982791
52207,5,7,5,21096,527749
72821,6,7,5,40594,1391233
66250,5,8,3,24202,1094322
74276,6,8,6,38536,1610217
81167,8,6,4,28714,1768705
56119,8,7,4,36041,1236258
84998,6,6,4,28623,1329007
69604,7,8,6,40684,1704127
70775,6,7,3,40561,1321888
66237,7,5,3,38907,1113937
57452,5,8,5,38533,1043628
66294,7,7,6,48878,1663654
69101,4,6,2,46139,969679
75730,6,8,4,29996,1183015
58600,6,7,3,26570,957815
59498,6,7,3,25401,912892
72410,6,8,6,40606,1479758
69317,6,8,4,24448,1431508
68657,7,9,6,43834,1747911
71240,6,9,5,42567,1563083
73224,5,8,6,41113,1425745
60968,6,6,4,28484,804454
65936,5,8,4,36262,1060441
62774,4,7,4,41389,954737
69305,5,7,3,29466,1152604
73219,4,6,4,31620,955944
63788,5,6,3,22450,433247
76613,7,7,6,43251,1718877
64461,8,7,2,34211,1236875
41533,7,5,4,31685,682200
79576,5,6,4,31050,1141917
82185,5,5,4,29259,1162735
69853,7,8,6,41914,1681341
51520,7,6,4,43259,945982
48617,7,7,4,29770,854045
63325,8,6,4,43282,1372994
65016,3,8,6,15903,414571
76856,5,6,2,45388,1240320
75302,7,8,4,42383,1640647
69439,6,7,4,57775,1537336
75764,5,7,2,36712,1337967
68815,5,5,3,42286,1085113
60912,6,6,4,20916,905329
41007,5,6,3,39527,494743
61950,6,6,2,42093,1237361
67422,5,8,6,20167,864899
68428,5,6,3,31074,1002193
61840,6,7,4,17245,800110
62835,7,7,5,50098,1410332
72485,4,6,2,43134,1036383
60946,5,6,3,34163,437146
83730,4,5,3,12906,624433
57606,7,6,2,49411,1179441
75358,9,7,3,21320,1740405
53927,5,6,3,37876,706135
60776,7,6,4,28319,870252
69649,5,7,3,36039,1106150
59296,5,8,4,46785,1192678
97548,5,7,2,39089,2026303
61689,7,8,6,35553,1311473
72470,6,8,3,27228,1123387
76048,7,8,6,22470,1205750
79186,6,9,6,17840,1582140
49220,5,6,2,46982,573435
80040,6,8,6,29699,1735826
51996,7,7,2,47074,1052185
52711,8,8,4,25594,1151282
56934,8,8,3,37076,1531217
66761,6,6,3,42293,1103353
52377,5,4,2,34189,308200
70224,7,7,4,40274,1423296
62613,7,7,3,40790,1315684
80285,5,4,2,23457,637952
66812,6,5,2,33499,1027191
51142,5,7,6,41873,729679
90535,6,6,2,42249,1676770
93186,6,7,2,23723,1569122
70743,5,5,3,26898,874970
56025,7,7,4,36216,1172413
76225,6,5,2,50003,1538985
89671,4,9,5,15626,1286573
89826,7,7,3,18598,1646033
61014,7,6,3,34772,1147313
63362,6,6,4,34972,976484
57086,6,7,4,39003,1073350
69045,4,6,4,34764,1084256
81439,5,7,2,43340,1432252
78300,7,8,3,39298,1676071
87386,6,6,4,31736,1580557
83150,6,6,3,45986,1549874
94085,6,9,5,31011,1989673
60710,5,8,6,44101,1286981
71309,8,8,4,32357,1752968
93304,5,8,3,38163,1529711
85631,6,9,4,42812,1710612
51360,6,6,2,40797,774010
75869,6,6,3,39296,1536144
82733,6,8,6,39061,1662939
67043,6,6,4,53739,1443027
67037,6,7,3,41042,1282258
56697,7,9,3,26083,1245968
65837,6,7,4,18250,1025909
79478,6,7,3,30411,1380070
55048,4,6,2,25093,288709
80613,5,8,5,35692,1247581
76848,7,8,6,43978,1767399
83587,7,7,4,34278,1588550
86343,6,7,3,35780,1685217
65846,6,7,3,28214,928950
69577,6,8,5,48122,1565931
61581,5,7,2,43071,926883
79097,6,8,5,43951,1770617
68988,6,8,4,28735,1279354
46926,5,5,3,53820,530765
84708,8,8,4,28219,1874896
79619,6,7,6,34605,1422890
61795,7,7,4,40719,1245788
54621,6,7,5,44500,1248131
70154,7,7,4,31863,1535565
79293,7,8,4,27773,1709442
67348,5,9,4,52158,1433260
73356,7,8,6,28008,1282759
68958,6,8,3,46682,1682709
44088,8,6,2,31033,624483
80650,5,8,6,54516,1651685
57945,5,7,3,23040,768035
63626,5,6,2,35778,1001877
60684,7,8,6,42643,1500821
90161,3,6,2,34010,1273988
62016,5,7,2,48897,1031046
79261,5,8,6,36129,1508199
49206,6,7,4,30396,773996
84974,7,8,6,38072,1723707
80574,4,8,3,34412,1260827
71062,7,7,4,30771,1367143
85828,5,7,5,29248,1303092
67869,7,6,4,32732,1341870
72779,6,8,4,24559,1188417
73305,5,8,6,24284,1155077
68026,5,7,4,35479,1048969
81025,6,7,2,25838,1319478
69289,5,6,4,40696,1022409
72695,5,7,4,48115,1394971
67569,5,8,4,36475,1183344
76504,6,7,4,42154,1259920
66274,5,7,2,12951,579586
57736,7,7,4,45688,1591188
73505,7,8,6,31537,1437154
60538,5,7,3,31248,851019
66545,6,6,2,34142,1321037
60755,6,6,3,29425,1112286
86161,4,8,3,47757,1509969
44577,8,7,5,27836,959626
61951,5,7,6,38737,1032180
79028,6,7,3,21388,1232015
69187,7,6,4,49506,1575101
84268,4,7,4,31182,1257433
93719,7,8,5,39900,2173809
65218,6,7,5,34864,1115549
78170,6,5,3,44504,1397956
63908,5,8,4,28299,1003905
74868,6,6,4,57841,1614374
73951,6,7,2,30519,1463368
74159,4,8,3,32581,966621
63281,7,8,3,43032,1453663
75869,6,8,5,32436,1321389
61172,4,7,6,41920,910513
66120,6,8,5,28439,1029354
79567,5,7,5,49312,1608889
84020,5,7,4,25976,1458009
83936,8,6,3,55472,2198565
60007,7,6,4,47734,1281778
60126,7,7,3,25424,1196643
70580,6,8,3,36627,1578494
53029,4,7,2,34472,430088
55289,6,7,5,30773,677988
71777,5,8,5,29802,1085534
76000,6,7,4,35184,1634781
56266,6,8,3,40493,1167450
61591,7,6,4,34460,1067727
71172,6,6,4,23264,887739
57925,3,7,6,40178,842925
75026,3,6,4,33970,864067
53080,5,6,2,23763,508952
64629,6,5,3,46877,1223777
62559,4,8,5,44522,1029037
90691,5,7,6,20847,1487998
77701,7,9,6,38827,1836420
66141,5,8,4,37356,1148067
79990,6,6,4,37817,1318681
76294,5,6,4,40712,1174481
76256,6,8,3,41297,1522955
76365,5,9,3,19992,1132146
73439,6,6,3,33286,1212462
46474,7,8,5,28182,864132
68562,6,7,3,35476,1336378
63786,7,6,4,67354,1747245
71321,4,7,4,47872,1398354
93129,6,8,4,42101,2020158
71834,6,5,3,31326,877779
51815,6,9,3,43605,1255202
69246,6,6,2,37598,1173414
63765,7,8,5,34303,1326680
81844,5,7,6,51937,1585522
62798,6,6,3,34652,1106337
56281,5,8,6,29142,962502
67060,7,8,5,51237,1408075
58385,8,6,2,41930,1266210
70259,7,8,6,54051,1741053
87929,6,6,3,44486,1636559
94734,8,7,5,46315,2318286
73505,5,9,6,47118,1409892
78643,7,6,3,13889,1166198
78319,6,6,2,41569,1393996
63640,6,8,5,41449,1462609
81728,6,8,6,51629,1922281
89552,6,7,2,43965,1587406
49493,6,8,3,39909,967869
61461,5,8,4,49688,1426546
72693,6,9,3,33125,1725430
79702,7,8,6,46270,1753821
54995,5,6,2,15444,321059
57328,7,8,3,28946,1089602
74586,4,6,3,48052,1137523
77334,5,9,4,37906,1371670
77133,7,6,2,47451,1595621
96778,5,8,6,37481,1899948
52047,6,6,3,41716,674658
78351,7,8,6,23053,1555491
61602,5,7,3,45188,1194192
84452,5,8,4,38221,1482107
84713,6,7,4,11072,1154917
61493,6,6,3,37743,1050839
37971,4,6,3,33268,31141
73159,8,9,3,25175,1748865
74622,7,6,3,30737,1287031
58956,7,7,6,38530,1237246
69254,6,9,3,22525,1259734
47550,6,8,5,43526,1028914
73272,6,7,3,39446,1388219
61479,4,6,4,36838,637190
62317,8,7,3,47836,1717571
65464,5,7,4,26066,729689
87884,8,6,3,41013,2049147
67819,7,7,3,37516,1340705
65660,7,5,2,40337,980983
68828,6,7,2,45936,1518169
71153,3,7,3,40951,1002840
80940,6,8,3,27772,1499921
66861,8,7,5,36036,1496577
64315,8,7,6,37218,1526915
63867,6,9,4,14523,917611
81220,6,7,2,32860,1572990
60881,6,7,3,42878,959416
66553,6,7,2,23632,960084
72896,6,8,3,40427,1526026
59160,6,7,3,23253,1006886
66413,5,6,3,50997,1105105
67026,6,6,2,27678,625881
77152,8,8,4,27118,1799827
69799,6,6,4,38341,1152799
55769,5,6,4,47990,846096
81699,6,7,3,19502,1387865
57368,6,9,4,47734,1414287
80489,5,5,2,36743,1273309
68091,5,8,3,44557,1489648
82588,6,7,3,55932,1765988
57408,7,6,2,27118,934112
64332,4,8,5,30813,1095879
66040,5,9,6,15613,876349
62397,6,6,3,40740,854946
84811,6,7,2,28392,1349743
67051,4,7,3,39736,970826
83907,6,7,3,46092,1796010
62346,5,6,4,41983,934492
60960,4,8,3,28172,584061
68354,5,7,5,27805,895846
58662,7,7,4,17468,696040
66131,6,7,2,40980,1204137
67351,6,6,4,47176,1413730
59933,5,6,3,28593,607874
60840,5,7,2,36241,971099
94712,5,5,2,49412,1714056
74469,7,8,3,46500,1956439
78753,6,9,3,50350,2013016
80233,5,7,5,26263,1390498
84473,5,7,4,31608,1529452
78050,4,6,4,42857,1143215
93178,6,7,6,42809,1949578
69949,5,6,4,37358,1057799
85903,6,7,2,25593,1585874
65284,6,7,4,37825,1168994
79192,7,6,4,35107,1431916
72243,5,8,6,43988,1409439
63126,7,8,3,51219,1496724
78581,6,7,4,50891,1566568
59482,5,8,4,31201,986113
66770,5,7,4,33238,885612
75369,6,7,3,32075,1102260
60420,7,7,2,38273,1268126
78555,8,6,4,34514,1580692
82074,5,7,4,36337,1128644
64254,5,9,4,58051,1524689
53433,7,9,5,36805,1176421
67883,7,8,5,34639,1456274
91833,6,8,4,31105,1777516
70671,7,6,3,23592,1237903
70315,6,6,4,49698,1385784
48363,6,8,4,49354,1035126
74022,7,6,4,30053,1358900
65183,5,8,6,48109,1311146
54049,4,8,5,42178,919927
72284,5,6,4,40277,985866
82476,5,6,3,30985,1196205
79772,6,7,5,30612,1435981
57236,4,8,3,24726,752800
43952,5,7,4,25139,324982
56721,7,8,3,22904,1127638
56655,5,5,3,25802,239320
40186,6,6,4,37767,529282
71227,7,8,4,20096,1455692
52445,8,7,4,39288,1371527
56826,7,8,6,43475,1231452
55622,4,7,2,63185,1102641
66510,5,6,2,29294,758263
62639,6,5,2,27813,476971
79453,6,7,4,44852,1706690
83137,5,6,2,30483,1079745
69143,5,7,4,24405,766594
68278,6,5,3,38100,905045
72251,7,7,4,34879,1425115
71374,5,7,5,51510,1512542
81503,7,7,3,46674,1650342
60569,8,8,3,16351,1112548
72684,6,7,3,18539,942509
73764,6,8,4,38551,1642845
75781,5,7,4,34945,1078713
77883,6,7,6,27529,1333865
70608,4,7,3,24388,684050
67783,6,8,6,46608,1311067
57715,5,8,5,53101,1172133
88614,3,8,5,42905,1419536
73559,6,7,4,34375,1288427
81776,6,7,6,30071,1500940
42462,6,8,4,42192,1000087
72097,6,9,3,31584,1457768
43922,6,7,5,42251,747933
64115,7,7,3,25273,1024738
77574,5,8,3,39055,1517667
70037,6,6,2,25064,953841
71184,5,7,4,46955,1375498
67316,7,9,4,37811,1645530
72814,9,8,3,35015,1727007
73023,6,8,5,40513,1597330
67570,7,7,4,49055,1688279
69973,6,7,4,37815,1398310
73231,5,5,3,40788,1100094
80578,6,8,5,36463,1505561
64755,8,6,2,27143,1105991
55436,5,8,5,23503,789044
65511,4,5,2,45112,756320
82856,7,8,5,36954,1856783
89338,4,7,3,41265,1222021
45990,7,7,3,41554,1043968
76801,6,7,5,48482,1673294
61607,7,6,2,40496,1325861
65428,7,8,5,33141,1236044
56698,6,6,2,37973,1030760
92152,6,7,2,37068,1609582
78556,6,6,3,29759,1292287
72204,5,8,5,28943,1057698
51742,8,4,2,32731,768153
71082,8,7,4,31328,1513428
71329,7,7,4,28053,1429498
67150,6,8,3,39918,1376970
59777,5,6,2,37837,614701
62725,6,7,5,19751,780609
65533,6,7,4,25002,856549
78294,6,7,2,47126,1656080
74371,7,7,4,33187,1249914
56664,7,6,2,28364,817460
60059,6,6,4,33582,990893
63757,6,8,4,27244,972080
81027,6,8,4,24407,1349990
83683,6,7,3,38400,1303542
56104,5,4,3,41331,593766
67454,5,8,4,49237,1243919
67631,8,6,2,24625,1395856
52988,7,7,3,37791,1112314
59550,7,6,2,14906,850010
58833,6,8,5,30200,931788
76717,5,6,4,34944,1011141
73423,5,5,3,50998,1190442
59128,6,6,2,45592,916140
65615,5,8,6,39354,1222045
68851,7,7,2,22122,1232156
43532,6,7,2,37389,652753
53764,7,8,5,32307,1219847
68948,8,8,5,40079,2050988
70795,6,8,3,29887,1359053
72444,5,8,6,31191,1308773
82782,6,8,4,39588,1573999
67429,5,8,6,40897,1182981
65841,6,6,2,48253,1029862
72258,5,7,4,33543,1085943
74244,6,8,4,40328,1713351
71759,6,7,2,42115,1297619
67511,7,7,3,23163,1096053
71301,7,8,4,44870,1920528
55784,8,6,2,29304,1035171
66841,7,7,6,32706,1218011
58098,7,6,3,43299,1106705
66252,5,6,3,33656,664979
73226,7,7,4,30464,1316129
70139,6,7,4,33434,1398760
65042,6,6,4,14487,759800
68167,6,7,2,13978,776906
61301,6,8,4,29409,971929
65176,7,7,3,29829,1180091
79038,6,7,2,30038,1201786
75986,6,7,5,50003,1591235
35963,3,8,3,24436,143027
65070,6,6,3,36778,1091143
60712,6,7,3,47783,1249174
77456,7,8,3,45582,2002029
61370,7,7,4,20601,824541
79863,7,6,3,35048,1511527
57981,6,8,6,25054,994258
63601,7,6,2,53539,1345297
62114,5,8,6,29401,1166400
82811,7,7,4,39780,1820981
69381,6,6,4,25328,1023965
69632,5,6,2,34642,889386
60378,4,7,4,29114,616738
82103,7,7,6,49015,1784261
49856,7,7,5,51529,1050541
68387,7,7,2,37895,1389224
78289,6,8,5,29197,1423908
60762,5,8,3,46303,1069238
58913,5,8,3,45564,1007856
65580,5,7,3,48220,924346
77021,6,8,3,27855,1453312
78277,4,5,4,21372,782656
71336,5,8,3,25377,803689
77528,7,8,4,23977,1439876
68195,7,8,6,26922,1270870
70834,4,7,5,53490,1347279
94670,7,8,4,39523,2186195
48524,7,7,2,41554,1082487
83403,7,9,3,26320,1700110
75219,7,7,3,37864,1623101
68146,5,6,3,39188,943309
84914,5,7,2,46136,1409684
82337,7,6,3,37965,1326482
51962,6,7,3,17403,404644
57169,6,6,4,47967,1176655
57925,3,7,2,43868,633876
77906,5,8,6,29283,1390251
62715,5,5,3,41999,861138
64901,4,7,3,47452,1151233
51157,6,7,2,25753,686645
63767,7,7,6,33036,1261682
61461,7,7,6,40815,1327811
61908,7,6,3,43829,1339096
72805,5,7,6,30875,987356
66205,6,9,5,36185,1384478
74548,6,5,3,40444,1168919
76454,6,6,4,51498,1522100
79355,6,5,3,31569,1260375
70064,5,5,3,28122,857762
74560,5,7,2,29892,1126450
82322,6,7,2,48616,1574085
43527,6,6,2,39760,469263
71770,6,7,4,28173,1114169
89057,3,7,6,60658,1792369
66418,6,8,3,45320,1383842
44440,6,8,5,37935,691318
69343,6,9,5,30114,1245070
95998,7,7,3,47129,2220799
62616,5,7,2,31010,854815
76394,7,9,3,46362,2092348
55840,5,8,3,30795,781213
69882,6,6,4,19545,726884
87099,7,6,3,44582,1640990
67717,6,8,5,40562,1535782
69625,7,7,4,57644,1737759
78707,6,8,4,36415,1550702
61322,5,10,5,29889,1348873
62710,6,7,3,34182,955446
66301,7,8,6,38502,1467911
75127,8,8,5,36544,1742939
68252,8,7,6,38203,1795631
85175,8,7,3,3285,1305972
62382,7,10,6,31391,1433542
69099,6,5,3,37540,921397
73247,5,8,4,47332,1405400
59902,6,8,6,30211,1088549
55038,4,9,5,27701,738031
69505,7,11,5,48112,2235295
67965,7,6,3,52831,1564253
71112,6,7,4,24134,1309937
76759,8,8,5,23752,1660770
82988,6,8,5,31143,1485418
71107,5,6,4,25862,886125
75516,6,6,4,35521,1411024
60805,4,7,3,31186,671344
61865,6,6,2,41492,992585
64242,5,7,6,27769,944590
77697,6,7,4,40523,1399909
63044,6,6,4,32725,865100
74102,6,7,4,43972,1394424
62514,5,6,3,40892,813808
63238,7,5,2,55850,1316180
75951,5,7,3,31126,1212205
66803,6,9,5,57970,1769485
45347,6,7,4,31336,541954
67723,7,7,4,37870,1494101
58108,5,5,3,37642,856023
60872,6,7,6,38111,1427843
76087,5,8,5,27616,1228138
73965,5,7,2,34441,1168628
69931,6,5,2,52079,1389287
77316,4,6,2,51097,1243982
76897,4,9,4,52734,1584440
76919,5,8,4,52946,1622837
64402,6,8,4,24966,1031147
58411,8,6,4,31189,1098518
53428,6,8,3,34539,909781
73649,6,6,4,47992,1431517
93456,5,7,2,31136,1636996
75843,6,7,4,61127,1658975
62021,6,8,5,35277,1168887
77064,7,8,3,43571,1720259
77785,4,6,2,43301,1129409
61784,6,6,2,27726,778837
78827,6,6,4,32865,1276472
64768,5,7,5,26415,839426
51457,6,7,3,42890,794076
66234,7,7,6,29548,1372550
72196,5,6,2,32256,1084539
50927,5,6,4,33664,211018
56087,7,8,3,33454,1186372
68985,6,8,6,16288,1140919
48856,8,8,5,49891,1471828
63500,4,6,3,38263,803260
73218,5,7,4,34819,1124719
83638,6,6,2,25963,1396401
48879,6,8,3,30730,802274
77188,6,7,4,35107,1646663
72441,6,7,4,38368,1202621
57813,4,8,5,46060,1066768
64811,6,7,3,40549,1153135
86563,5,8,4,44920,1706111
86587,5,7,2,40282,1543913
49601,4,6,2,33837,302307
71921,7,8,6,26341,1134055
68355,7,7,4,38950,1352757
64350,7,7,3,69592,1772391
61481,5,7,3,39586,1014451
39294,6,6,4,43184,781137
59079,6,6,4,34656,921238
57973,5,7,4,40093,790556
79690,6,7,3,38314,1420648
47018,5,7,4,23926,377619
56252,5,6,4,44306,945080
65741,7,7,4,37648,1630953
53066,7,8,3,19103,1009972
71368,6,7,6,35377,1372807
40753,6,7,4,41565,560599
64297,7,8,5,37563,1484654
50173,6,7,4,32764,940139
70565,7,7,2,37340,1354077
67867,5,9,5,43123,1400961
77107,7,6,2,36215,1426832
74418,6,6,4,27089,1031737
58003,7,8,6,30249,1244249
63217,7,5,2,31926,1070868
49740,5,7,4,25546,493350
75361,6,8,3,23531,1228323
62595,5,8,3,46459,1427027
62213,7,8,6,40621,1504664
60611,4,6,4,49513,689156
82777,5,8,5,42583,1481171
50716,6,8,5,35880,1092650
61906,6,7,6,36381,962582
68247,4,7,3,24553,688479
85174,5,6,4,38773,1363106
63343,5,6,2,25009,826328
74022,6,8,4,36534,1434575
78867,6,7,3,39817,1509423
71721,3,8,6,10705,395440
76076,6,8,6,46298,1765809
52569,7,7,2,38555,1135676
69852,6,8,3,19560,1006228
58069,5,6,3,29520,576387
60134,4,8,3,39201,1044616
72968,6,7,4,49141,1765352
63820,7,6,3,28737,1049632
78701,7,7,4,35194,1456970
62806,6,8,4,33499,1331375
71595,7,8,5,37271,1779875
85441,5,7,6,46302,1601153
86562,7,7,5,32621,1702529
74647,5,6,4,36679,1123765
63686,6,9,3,18164,1042144
60531,4,8,4,34043,869027
74826,6,7,6,32640,1352994
71639,7,6,3,28995,945931
81439,6,7,5,37566,1653381
85297,5,6,2,28320,1258958
64044,5,6,4,32941,724122
67828,5,9,5,34981,1067872
60028,5,6,3,36652,842236
63700,5,8,6,38398,954154
74010,6,6,2,46239,1356691
67094,5,7,4,30023,1202993
66715,7,8,6,53185,1502448
72745,8,7,4,53001,1947338
79924,5,7,5,33828,1153517
48511,6,5,3,31451,414165
50534,7,5,4,26627,723090
55544,7,8,5,40063,1193483
85466,6,5,3,38191,1380603
48736,6,6,2,19682,151527
76389,6,7,2,36841,1114730
73279,6,8,3,13981,984421
64662,5,6,2,49457,875905
59390,6,7,4,28996,788428
66065,7,7,4,44561,1444701
72488,6,8,4,41199,1450394
70794,5,6,3,19908,921321
78241,6,9,6,20548,1160146
72753,6,8,6,24944,1222690
78964,7,6,3,59975,2004396
49775,5,6,2,23557,454056
87768,5,7,2,45801,1698199
65449,7,6,4,34828,1193107
85194,6,4,4,38785,1275403
67933,4,7,2,42772,810752
50317,7,7,4,25202,642863
53975,6,7,4,41442,1086826
63050,6,6,3,24986,773361
85907,7,7,5,21332,1500963
62355,5,5,4,23768,768302
64750,7,8,4,49537,1781211
75073,6,9,5,27494,1420470
79345,5,7,3,37574,1380216
67683,6,6,4,37029,1090805
57869,6,8,3,31819,886816
60028,5,6,3,54739,1007225
71146,7,6,3,22876,1077754
52455,7,7,6,35143,1253648
66967,4,6,3,51555,1102943
59013,5,6,2,28264,744133
70371,7,8,6,53832,1845630
66990,5,6,3,37017,873588
64050,5,7,3,29084,755678
71195,6,5,2,29508,1101826
82866,5,8,4,41167,1618994
60827,6,6,3,36893,1127874
65543,4,7,6,28939,749847
62902,7,7,3,27321,984672
59030,6,5,2,22803,534077
66320,5,8,5,36145,1242114
68965,6,7,3,37588,1273631
68994,6,7,6,30610,1095598
58517,8,8,6,30889,1364738
65019,6,6,3,32581,1037147
74657,6,8,4,22602,1228517
57697,6,7,2,18282,759361
69235,6,6,3,38322,1140580
63016,6,6,3,26674,810742
52022,6,6,3,31321,642855
80059,7,7,4,23361,1562950
87332,6,7,3,43754,1599852
63658,7,7,2,39591,1332669
46517,6,8,5,26452,665160
88306,7,7,3,32190,1591384
49785,7,9,4,36565,1144507
84054,6,8,5,23023,1619722
66775,6,8,4,36789,1251689
70981,7,8,6,53543,1882807
70767,5,7,6,26926,1016163
77103,6,9,4,45747,1721005
67743,5,8,5,30678,890138
76443,6,6,3,40129,1272720
78116,6,7,4,45024,1582606
69501,5,6,3,48767,1170204
81535,3,6,3,51000,1166750
41240,6,5,4,40888,319496
45074,8,5,3,38066,704698
53173,6,7,2,43600,945615
80900,6,9,4,40269,2054897
69228,4,9,6,42583,1280231
54859,6,6,4,36229,850115
77099,8,6,4,46479,1637650
104703,6,7,3,22561,1742432
50473,6,7,3,50145,942094
75675,5,7,3,45104,1388783
72727,6,6,3,27159,996506
56429,4,7,4,44878,790803
43497,6,7,2,35727,718651
77876,5,7,6,44453,1517142
58511,4,7,3,28270,496360
69168,5,7,3,26517,820611
65687,7,7,4,17386,1122321
57815,5,7,2,32881,846939
66235,6,8,5,35130,1540762
65432,4,7,4,38499,963532
76010,6,7,2,52832,1590804
78997,7,6,2,30166,1283415
64720,8,6,3,37204,1447921
56652,7,8,5,11037,742859
68312,7,6,4,39724,1400609
73463,7,6,3,47638,1638577
60732,6,9,5,35341,1235476
74656,6,8,4,22170,1249418
75824,7,7,2,35784,1499356
78988,4,6,4,31677,1005844
52868,6,4,4,41849,623722
64252,5,6,4,45173,922514
74556,8,7,4,32938,1638607
70356,6,7,5,39883,1249224
92053,6,8,5,47343,1928302
82074,7,6,4,34318,1487730
52700,6,9,3,30299,896304
71792,8,8,3,48266,1903814
58656,6,7,4,40741,1069851
71089,5,6,3,28751,829868
74985,4,8,4,29287,1181338
59082,7,7,2,42578,1401768
71329,6,6,3,25974,1235501
